SHOT_DIST,CLOSE_DEF_DIST,SHOT_CLOCK,PERIOD,is_home,is_3pt,is_paint,is_midrange,is_4q,is_ot,time_pressure,defender_pressure,open_shot,dist_x_defender,dist_x_time,pressure_x_3pt,shot_difficulty,made
19.0,5.3,11.7,3,1,0,0,1,0,1,0,0,0,100.7,222.29999999999998,0,1.8912172119068669,1
19.3,3.7,6.6,3,1,0,0,1,0,1,0,0,0,71.41000000000001,127.38,0,2.032943722943723,1
11.0,0.8,14.5,4,1,0,0,1,1,0,0,1,0,8.8,159.5,0,2.2048629531388153,0
24.6,13.0,20.2,4,1,1,0,0,1,0,0,0,1,319.8,496.92,0,1.9435790245691238,0
17.8,5.0,4.7,4,1,0,0,1,1,0,0,0,0,89.0,83.66000000000001,0,1.9879174725983237,1
24.7,7.9,9.8,2,0,1,0,0,0,1,0,0,1,195.13,242.06,0,2.044421768707483,0
22.7,8.7,15.1,3,0,0,0,1,0,1,0,0,1,197.48999999999998,342.77,0,1.9315874844034935,1
18.1,3.3,10.0,3,0,0,0,1,0,1,0,0,0,59.730000000000004,181.0,0,1.9664912280701756,0
24.8,8.1,15.8,4,0,1,0,0,1,0,0,0,1,200.88,391.84000000000003,0,2.006236875674615,0
25.1,7.8,5.5,2,1,1,0,0,0,1,0,0,1,195.78,138.05,0,2.1389667761956916,1
2.7,3.3,24.0,4,1,0,1,0,1,0,0,0,0,8.91,64.80000000000001,0,1.3948245614035089,0
20.5,2.9,16.2,1,1,0,0,1,0,1,0,0,0,59.449999999999996,332.09999999999997,0,2.0391793754538856,1
18.3,5.1,12.9,1,1,0,0,1,0,1,0,0,0,93.33,236.07000000000002,0,1.8660908084163896,1
6.7,0.8,2.0,1,1,0,0,1,0,1,1,1,0,5.36,13.4,0,2.4925641025641028,0
21.6,12.2,13.5,1,1,0,0,1,0,1,0,0,1,263.52,291.6,0,1.872814231554389,0
22.8,9.3,6.2,2,1,0,0,1,0,1,0,0,1,212.04000000000002,141.36,0,2.0233311389071758,0
24.7,6.3,16.9,2,1,1,0,0,0,1,0,0,1,155.60999999999999,417.42999999999995,0,2.0295637544958813,0
12.0,4.0,,2,1,0,0,1,0,1,0,0,0,48.0,,0,,0
24.9,7.8,13.3,3,1,1,0,0,0,1,0,0,1,194.21999999999997,331.17,0,2.0256698976356553,1
5.3,2.6,7.0,3,1,0,0,1,0,1,0,0,0,13.78,37.1,0,1.6421044546850998,1
20.5,6.2,13.3,3,1,0,0,1,0,1,0,0,1,127.10000000000001,272.65000000000003,0,1.907775034601429,1
24.0,5.3,13.4,3,1,1,0,0,0,1,0,0,0,127.19999999999999,321.6,0,2.04704065877509,1
17.9,2.7,,3,1,0,0,1,0,1,0,0,0,48.33,,0,,0
4.2,1.6,19.7,1,1,0,0,1,0,1,0,1,0,6.720000000000001,82.74,0,1.666951897510273,0
19.4,2.4,15.0,1,1,0,0,1,0,1,0,0,0,46.559999999999995,291.0,0,2.0581609195402297,0
17.7,5.8,10.6,1,1,0,0,1,0,1,0,0,0,102.66,187.61999999999998,0,1.843069781371668,0
16.1,4.5,18.2,1,1,0,0,1,0,1,0,0,0,72.45,293.02000000000004,0,1.7916117216117218,0
19.4,3.2,11.8,2,1,0,0,1,0,1,0,0,0,62.08,228.92,0,2.0016826996488013,0
22.3,13.0,23.0,2,1,0,0,1,0,1,0,0,1,289.90000000000003,512.9,0,1.8608856682769725,1
10.4,2.7,,2,1,0,0,1,0,1,0,0,0,28.080000000000002,,0,,1
19.5,4.0,16.2,3,1,0,0,1,0,1,0,0,0,78.0,315.9,0,1.9339506172839507,0
4.7,3.6,4.0,3,1,0,0,1,0,1,1,0,0,16.92,18.8,0,1.650569105691057,0
12.6,2.7,17.8,3,1,0,0,1,0,1,0,0,0,34.02,224.28,0,1.7886797752808987,0
18.3,2.2,,3,1,0,0,1,0,1,0,0,0,40.260000000000005,,0,,0
8.1,0.9,9.7,5,1,0,0,1,1,0,0,1,0,7.29,78.57,0,2.087378497790869,0
23.2,4.0,11.8,1,1,0,0,1,0,1,0,0,0,92.8,273.76,0,2.08030131826742,1
24.2,5.5,20.3,2,1,1,0,0,0,1,0,0,0,133.1,491.26,0,2.0225944170771757,0
5.6,2.7,10.0,2,1,0,0,1,0,1,0,0,0,15.12,56.0,0,1.5991666666666666,1
19.2,3.2,5.8,4,1,0,0,1,1,0,0,0,0,61.44,111.36,0,2.0826840633737187,0
24.3,11.3,20.3,1,0,1,0,0,0,1,0,0,1,274.59000000000003,493.29,0,1.9440068464557068,0
15.0,2.6,16.9,2,0,0,0,1,0,1,0,0,0,39.0,253.49999999999997,0,1.8817522427944264,0
24.2,3.8,2.9,2,0,1,0,0,0,1,1,0,0,91.96,70.17999999999999,0,2.3840523924084467,0
7.4,3.1,8.7,2,0,0,0,1,0,1,0,0,0,22.94,64.38,0,1.6393869731800768,1
20.4,7.8,6.5,4,0,0,0,1,1,0,0,0,1,159.11999999999998,132.6,0,1.954328081556997,1
21.5,5.5,15.3,4,0,0,0,1,1,0,0,0,0,118.25,328.95,0,1.9486928104575163,1
21.7,4.6,7.9,4,0,0,0,1,1,0,0,0,0,99.82,171.43,0,2.0459940431868953,1
18.5,5.1,12.8,4,0,0,0,1,1,0,0,0,0,94.35,236.8,0,1.8733630952380953,1
26.1,4.5,11.0,2,0,1,0,0,0,1,0,0,0,117.45,287.1,0,2.160909090909091,0
3.1,16.3,21.1,2,0,0,1,0,0,1,0,0,1,50.53,65.41000000000001,0,1.2102505077860528,1
19.3,7.2,13.6,2,0,0,0,1,0,1,0,0,1,138.96,262.48,0,1.846732874968169,1
21.5,3.5,6.1,2,0,0,0,1,0,1,0,0,0,75.25,131.15,0,2.1306010928961747,0
25.2,4.2,7.3,4,0,1,0,0,1,0,0,0,0,105.84,183.95999999999998,0,2.1897522588166716,0
11.4,1.8,1.0,1,1,0,0,1,0,1,1,1,0,20.52,11.4,0,2.814782608695652,1
17.6,1.9,16.0,2,1,0,0,1,0,1,0,1,0,33.44,281.6,0,2.0658333333333334,0
24.3,4.8,11.4,2,1,1,0,0,0,1,0,0,0,116.64,277.02000000000004,0,2.0863985435286327,1
24.8,4.9,9.8,4,1,1,0,0,1,0,0,0,0,121.52000000000001,243.04000000000002,0,2.1138926681783823,1
25.2,4.0,15.4,4,1,1,0,0,1,0,0,0,0,100.8,388.08,0,2.127157287157287,0
19.3,4.4,6.5,2,0,0,0,1,0,1,0,0,0,84.92000000000002,125.45,0,2.0012611198325483,0
24.7,5.1,1.7,4,0,1,0,0,1,0,1,0,0,125.96999999999998,41.989999999999995,0,2.590140056022409,1
22.6,6.9,18.7,2,0,0,0,1,0,1,0,0,1,155.94000000000003,422.62,0,1.9419444042973455,0
9.1,3.0,9.6,4,0,0,0,1,1,0,0,0,0,27.299999999999997,87.36,0,1.6932142857142858,0
17.0,9.0,13.1,4,0,0,0,1,1,0,0,0,1,153.0,222.7,0,1.748265702423999,1
